date|bullish_index|bearish_index|bull_bear_difference|no_bull_tweets|no_bear_tweets
2013-08-05|1.734136|1.649808|0.084328|382|208
2013-08-06|1.579466|1.719845|-0.140379|281|194
2013-08-07|1.5845|1.608|-0.0235|180|110
2013-08-08|1.664338|1.594706|0.069632|219|136
2013-08-09|1.569302|1.682698|-0.113396|215|189
2013-08-10|1.869412|1.789412|0.08|34|17
2013-08-11|1.659804|1.669375|-0.009571|51|32
2013-08-12|1.827154|1.608085|0.219069|383|141
2013-08-13|1.761675|1.64756|0.114114|1057|455
2013-08-14|1.718506|1.681036|0.03747|783|473
2013-08-15|1.715599|1.718478|-0.002879|543|289
2013-08-16|1.705399|1.693742|0.011657|426|155
2013-08-17|1.711633|1.825263|-0.113631|49|19
2013-08-18|1.751698|1.508696|0.243002|53|23
2013-08-19|1.685243|1.67146|0.013783|494|274
2013-08-20|1.669019|1.655186|0.013833|418|295
2013-08-21|1.639716|1.683396|-0.04368|317|212
2013-08-22|1.738852|1.792947|-0.054095|601|380
2013-08-23|1.712622|1.773094|-0.060472|267|139
2013-08-24|1.500909|1.396|0.104909|33|10
2013-08-25|1.785882|1.9075|-0.121618|34|16
2013-08-26|1.69272|1.647906|0.044814|375|191
2013-08-27|1.574283|1.749155|-0.174872|516|355
2013-08-28|1.726966|1.790694|-0.063728|379|245
2013-08-29|1.747421|1.684837|0.062584|252|153
2013-08-30|1.590226|1.573691|0.016534|266|149
2013-08-31|1.614865|1.430909|0.183956|37|11
2013-09-01|1.975385|1.317857|0.657527|26|14
2013-09-02|1.784603|1.752174|0.032429|63|23
2013-09-03|1.753304|1.700082|0.053222|342|244
2013-09-04|1.753777|1.695897|0.05788|601|273
2013-09-05|1.796397|1.505267|0.291131|297|150
2013-09-06|1.805509|1.759762|0.045747|432|210
2013-09-07|1.876842|1.815909|0.060933|76|22
2013-09-08|1.950781|1.571935|0.378846|64|31
2013-09-09|1.836606|1.633934|0.202672|439|211
2013-09-10|1.691667|1.78907|-0.097404|1062|667
2013-09-11|1.6311|1.733916|-0.102816|1182|812
2013-09-12|1.754391|1.640072|0.114319|542|277
2013-09-13|1.679163|1.860975|-0.181812|442|359
2013-09-14|1.752054|1.562462|0.189592|112|65
